time,ip,aminor,BT,R0,epsilon,kappa,n_e,ne_edge,Te_edge
0.0,0.001,0.085,0.5,0.2,0.425,1.0,0.2,0.05,0.2
0.001,0.0109,0.09500000000000001,0.5,0.21000000000000002,0.4523809523809524,1.07,0.205,0.05125,0.2
0.002,0.0208,0.105,0.5,0.22,0.47727272727272724,1.1400000000000001,0.21,0.0525,0.2
0.003,0.0307,0.115,0.5,0.23,0.5,1.21,0.215,0.05375,0.2
0.004,0.0406,0.12499999999999999,0.5,0.24,0.5208333333333333,1.28,0.22,0.055,0.2
0.005,0.0505,0.135,0.5,0.25,0.54,1.35,0.225,0.05625,0.2
0.006,0.0604,0.14500000000000002,0.5,0.26,0.5576923076923077,1.42,0.23,0.0575,0.2
0.007,0.0703,0.15500000000000003,0.5,0.27,0.5740740740740742,1.49,0.235,0.05875,0.2
0.008,0.0802,0.16500000000000004,0.5,0.28,0.5892857142857143,1.56,0.24,0.06,0.2
0.009000000000000001,0.09010000000000001,0.17500000000000004,0.5,0.29000000000000004,0.6034482758620691,1.6300000000000001,0.245,0.06125,0.2
0.01,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.25,0.0625,0.2
0.011,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.251,0.06275,0.2
0.012,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.252,0.063,0.2
0.013000000000000001,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.253,0.06325,0.2
0.014,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.254,0.0635,0.2
0.015,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.255,0.06375,0.2
0.016,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.256,0.064,0.2
0.017,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.257,0.06425,0.2
0.018000000000000002,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.258,0.0645,0.2
0.019,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.259,0.06475,0.2
0.02,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.26,0.065,0.2
0.021,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.261,0.06525,0.2
0.022,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.262,0.0655,0.2
0.023,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.263,0.06575,0.2
0.024,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.264,0.066,0.2
0.025,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.265,0.06625,0.2
0.026000000000000002,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.266,0.0665,0.2
0.027,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.267,0.06675,0.2
0.028,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.268,0.067,0.2
0.029,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.269,0.06725,0.2
0.03,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.27,0.0675,0.2
0.031,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.271,0.06775,0.2
0.032,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.272,0.068,0.2
0.033,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.273,0.06825,0.2
0.034,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.274,0.0685,0.2
0.035,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.275,0.06875,0.2
0.036000000000000004,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.276,0.069,0.2
0.037,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.277,0.06925,0.2
0.038,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.278,0.0695,0.2
0.039,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.279,0.06975,0.2
0.04,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.28,0.07,0.2
0.041,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.281,0.07025,0.2
0.042,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.282,0.0705,0.2
0.043000000000000003,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.283,0.07075,0.2
0.044,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.284,0.071,0.2
0.045,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.285,0.07125,0.2
0.046,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.286,0.0715,0.2
0.047,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.287,0.07175,0.2
0.048,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.288,0.072,0.2
0.049,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.289,0.07225,0.2
0.05,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.29,0.0725,0.2
0.051000000000000004,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.291,0.07275,0.2
0.052000000000000005,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.292,0.073,0.2
0.053,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.293,0.07325,0.2
0.054,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.294,0.0735,0.2
0.055,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.295,0.07375,0.2
0.056,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.296,0.074,0.2
0.057,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.297,0.07425,0.2
0.058,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.298,0.0745,0.2
0.059000000000000004,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.299,0.07475,0.2
0.06,0.1,0.185,0.5,0.3,0.6166666666666667,1.7,0.3,0.075,0.2
0.061,0.0901,0.175,0.5,0.29,0.603448275862069,1.63,0.305,0.07625,0.2
0.062,0.0802,0.16499999999999998,0.5,0.27999999999999997,0.5892857142857143,1.56,0.31,0.0775,0.2
0.063,0.0703,0.15500000000000003,0.5,0.27,0.5740740740740742,1.49,0.315,0.07875,0.2
0.064,0.0604,0.14500000000000002,0.5,0.26,0.5576923076923077,1.42,0.32,0.08,0.2
0.065,0.0505,0.135,0.5,0.25,0.54,1.35,0.325,0.08125,0.2
0.066,0.0406,0.12499999999999999,0.5,0.24,0.5208333333333333,1.28,0.33,0.0825,0.2
0.067,0.0307,0.11499999999999998,0.5,0.22999999999999998,0.49999999999999994,1.21,0.335,0.08375,0.2
0.068,0.0208,0.105,0.5,0.22,0.47727272727272724,1.1400000000000001,0.34,0.085,0.2
0.069,0.0109,0.09500000000000001,0.5,0.21000000000000002,0.4523809523809524,1.07,0.345,0.08625,0.2
